respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
118866960887,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866963297,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866960088,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden"
118866962159,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118866958232,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866959132,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866959416,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866953261,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866955618,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866957825,"Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866958454,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall"
118866956552,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866956915,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866955817,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118866954185,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866951530,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden"
118866950613,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866948040,"Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118866943584,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866946022,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118866945395,,"Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden"
118866942004,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866945099,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866946286,"Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118866943931,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866943455,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866944075,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118866943226,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866943215,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden"
118866943315,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden"
118866942164,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden"
118866944373,,,,,,
118866941933,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866940774,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866940556,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866936324,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118866939705,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866938193,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118866937507,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866935766,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866937898,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866936563,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866937146,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118866934905,"Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118866936667,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866935206,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866936450,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866935483,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866936312,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866935967,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866934557,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866935058,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866928634,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866933543,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866929307,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866933392,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866931995,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866934042,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866935000,,,,,,
118866933882,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118866930245,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden"
118866930393,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118866932976,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866931782,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118866930866,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866931402,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866930240,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118866930534,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866928259,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866931009,"Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866928820,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866930110,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden"
118866926962,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118866926796,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866928003,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall"
118866928061,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866807581,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866331968,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866098373,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866070482,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118866049453,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118865993888,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118865937239,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118865545609,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118865337253,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden"
118864902528,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118864896513,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118864429794,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118864377677,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118864359644,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden"
118864248189,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118864149111,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118864023864,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118864004036,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118863985701,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118863934625,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118863922119,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden"
118863893346,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118863891002,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863872491,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863862058,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863784974,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863593040,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118863567511,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118863548745,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118863432342,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863395010,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863368596,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118863364986,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118863351926,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118863342592,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863331096,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863327593,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118863326262,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118863321869,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall",,"Nein, auf keinen Fall"
118863315318,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118752452689,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118745041241,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118745035969,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118745035159,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118728905344,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118728041541,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118725909916,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden"
118725489712,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118725204330,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118725167746,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118725152865,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118725110569,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Nein, auf keinen Fall"
118723447559,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118723237756,"Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden"
118722584838,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
