respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,switzerland_region_primary_regional_languages,collector_type_source,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?,Gender,Age,Device
118866992134,460861130,05/16/2025 04:55:05 PM,05/16/2025 04:58:39 PM,,,,,fbe194813fce551e0418b927ea,386207,smc,52,Männlich,2,,Wohnung (Miete),,,Weiss nicht,Wn,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Nein,Nein,Unter 3.000 CHF,Keine Angabe,Ich habe keine feste Parteipräferenz,male,45_to_60,ios_mobile
118866992596,460861130,05/16/2025 04:55:33 PM,05/16/2025 04:56:50 PM,,,,,c22b1b73fa3220adadb45835a1,386207,smc,23,Weiblich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,4,3,4,3,2,2,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, f",,"Ja, +",,,7%,"Ja, f",,"Ja, +",,"Ja, +",,Ja,Nein,3.000 - 5.000 CHF,Sekundarschule/Realschule,Schweizerische Volkspartei (SVP),female,18_to_29,ios_mobile
118866990024,460861130,05/16/2025 04:52:18 PM,05/16/2025 04:55:15 PM,,,,,32175045a12711c6eea8caf64c,386207,smc,51,Männlich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Flatterstrom,Herausforderungen für die Stabilität der Netze,2,4,4,4,4,3,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",10%,Nein,,Nein,,Nein,,"Ja, +",10%,"Ja, +",10%,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Die Mitte,male,45_to_60,android_mobile
118866989350,460861130,05/16/2025 04:51:27 PM,05/16/2025 04:54:46 PM,,,,,c493e1a74fbe1bd5f66cf8f92d,386207,smc,28,Weiblich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Wn,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,4,3,5 = sehr wichtig,5 = sehr wichtig,4,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",51%,Nein,0%,Nein,0%,Nein,0%,Nein,0%,Nein,0%,Ja,Ja,Keine Angabe,Keine Angabe,Keine Angabe,female,18_to_29,android_mobile
118866989292,460861130,05/16/2025 04:51:18 PM,05/16/2025 04:54:19 PM,,,,,07c5b01b28a5b181c9ff29be13,386207,smc,41,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Herausforderungen für die Stabilität der Netze,3,4,4,3,3,3,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden",Nein,,Nein,,"Ja, +",,Nein,,"Ja, f",,"Ja, f",,Ja,Nein,7.001 - 10.000 CHF,Universität/Master,Die Mitte,male,30_to_44,ios_mobile
118866987521,460861130,05/16/2025 04:48:52 PM,05/16/2025 04:53:58 PM,,,,,c55c355a7ac4747da161e818ec,386207,smc,66,Weiblich,3,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),weiss nicht,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,1 = sehr unwichtig,5 = sehr wichtig,4,4,3,3,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",,"Ja, f",,Nein,,"Ja, f",,"Ja, +",,Ja,Ja,5.001 - 7.000 CHF,Sekundarschule/Realschule,Ich habe keine feste Parteipräferenz,female,60_above,pc_windows
118866987307,460861130,05/16/2025 04:48:28 PM,05/16/2025 04:53:46 PM,,,,,d0e3a653d11850416f52bf000d,386207,smc,77,Männlich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),synchronosation des netzes und speicherung,Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,5 = sehr wichtig,4,2,2,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",10%,Nein,,Nein,,"Ja, f",10%,"Ja, f",10%,"Ja, f",10%,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Die Mitte,male,60_above,pc_windows
118866990134,460861130,05/16/2025 04:50:32 PM,05/16/2025 04:53:00 PM,,,,,3b2d128b69dbb5a0e0ee4167eb,,smc,36,Weiblich,3,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118866986337,460861130,05/16/2025 04:47:37 PM,05/16/2025 04:52:51 PM,,,,,a0fa698498809c773fa0af5d64,386207,smc,60,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,2,5 = sehr wichtig,4,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,Nein,,"Ja, +",20%,Nein,,Nein,,"Ja, +",10%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP),female,45_to_60,pc_windows
118866989972,460861130,05/16/2025 04:51:03 PM,05/16/2025 04:52:42 PM,,,,,1697ca8cefce1928533c9793b4,,smc,32,Männlich,4,Wohnung (Eigentum),,Haus (Miete),,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118866984327,460861130,05/16/2025 04:44:42 PM,05/16/2025 04:51:43 PM,,,,,d9f3c65c54c6769df2717ab156,386207,smc,36,Weiblich,4,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Renewable energy instability could lead to grid instability,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",10%,"Ja, +",5%,"Ja, f",5%,"Ja, +",10%,Nein,20%,"Ja, f",20%,Ja,Ja,Über 10.000 CHF,Universität/Master,FDP.Die Liberalen (FDP),female,30_to_44,pc_windows
118866973987,460861130,05/16/2025 04:30:51 PM,05/16/2025 04:49:12 PM,,,,,7ca1dc2e5871ea92495f7219d6,386207,smc,54,Männlich,3,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"erneuerbarer Energien ist die ablösung von Sonne, Wasserkraft Wind",Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,4,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",65%,,75%,"Ja, f",55%,"Ja, f",85%,"Ja, +",70%,"Ja, f",65%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,pc_windows
118866983923,460861130,05/16/2025 04:44:34 PM,05/16/2025 04:48:56 PM,,,,,abae092d64c853e16821eb1066,386207,smc,60,Männlich,1,,Wohnung (Miete),,,Weiss nicht,weiss nicht,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,3,3,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,male,45_to_60,pc_windows
118866982200,460861130,05/16/2025 04:42:13 PM,05/16/2025 04:48:47 PM,,,,,a3bd1da4e781b44a02ee7bdf75,386207,smc,58,Weiblich,1,,Wohnung (Miete),,,Weiss nicht,Das die Leute das nicht wollen. ,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,1 = sehr unwichtig,3,3,3,2,2,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,female,45_to_60,android_mobile
118866983403,460861130,05/16/2025 04:44:03 PM,05/16/2025 04:47:52 PM,,,,,d06b3f662b17052180907f6771,386207,smc,59,Weiblich,2,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Black out wie in Spanien,Herausforderungen für die Stabilität der Netze,2,3,3,2,3,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",20%,"Ja, f",20%,"Ja, f",20%,"Ja, f",20%,"Ja, f",20%,"Ja, f",20%,Ja,Ja,Über 10.000 CHF,Universität/Master,Die Mitte,female,45_to_60,android_mobile
118866982535,460861130,05/16/2025 04:42:55 PM,05/16/2025 04:46:40 PM,,,,,18cd77f60e2c5bd10ce3826cba,386207,smc,67,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,3,3,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, +",20%,Nein,20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,Nein,10%,Ja,Ja,5.001 - 7.000 CHF,Sekundarschule/Realschule,Schweizerische Volkspartei (SVP),female,60_above,android_mobile
118866979137,460861130,05/16/2025 04:38:36 PM,05/16/2025 04:45:39 PM,,,,,71870dea07c57ecfe84de04606,386207,smc,53,Weiblich,3,,Wohnung (Miete),,,Weiss nicht,Weiss nicht ,Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,3,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",100%,Nein,,"Ja, +",100%,"Ja, f",50%,"Ja, +",100%,"Ja, +",100%,Nein,Nein,Keine Angabe,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz,female,45_to_60,ios_mobile
118866981859,460861130,05/16/2025 04:42:12 PM,05/16/2025 04:44:47 PM,,,,,e376e2d2a4969cbdcf630f6dfe,386207,smc,40,Weiblich,5,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Keine der genannten Konsequenzen ist problematisch,4,5 = sehr wichtig,4,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP),female,30_to_44,ios_mobile
118866981183,460861130,05/16/2025 04:41:13 PM,05/16/2025 04:43:43 PM,,,,,db0d51a1373184bd97279eff7d,386207,smc,27,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht,Herausforderungen für die Stabilität der Netze,4,4,3,3,4,4,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, +",18%,"Ja, f",9%,"Ja, +",20%,"Ja, f",5%,"Ja, +",20%,"Ja, f",10%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP),female,18_to_29,ios_mobile
118866979933,460861130,05/16/2025 04:39:48 PM,05/16/2025 04:42:55 PM,,,,,43726bb9783c1cd65c9726f160,386207,smc,38,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Herausforderungen für die Stabilität der Netze,3,2,3,1 = sehr unwichtig,3,3,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, f",9%,"Ja, +",12%,"Ja, +",8%,"Ja, f",14%,Nein,12%,"Ja, +",9%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,female,30_to_44,ios_mobile
118866979138,460861130,05/16/2025 04:38:55 PM,05/16/2025 04:41:06 PM,,,,,064133e90b2ed3e8859a916b65,386207,smc,50,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,4,4,3,4,4,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden",,10%,,10%,,15%,,0%,,10%,,10%,Nein,Nein,7.001 - 10.000 CHF,Sekundarschule/Realschule,Die Mitte,male,45_to_60,pc_windows
118866974650,460861130,05/16/2025 04:33:33 PM,05/16/2025 04:39:02 PM,,,,,db65d864ab6366a22bd6f06329,386207,smc,54,Weiblich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,3,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden",Nein,100%,Nein,100%,Nein,100%,Nein,100%,Nein,100%,Nein,100%,Nein,Nein,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,45_to_60,android_mobile
118866975327,460861130,05/16/2025 04:34:20 PM,05/16/2025 04:38:10 PM,,,,,3b3297b01b7f04eb8f6ecdb471,386207,smc,18,Weiblich,4,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,3,4,4,4,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",20%,"Ja, +",7%,"Ja, +",7%,"Ja, +",14%,"Ja, +",39%,"Ja, +",,Ja,Ja,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,Evangelische Volkspartei (EVP),female,18_to_29,ios_mobile
118866974083,460861130,05/16/2025 04:32:26 PM,05/16/2025 04:37:58 PM,,,,,1523f2ae72c938fdbe0c2562e7,386207,smc,72,Weiblich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,60_above,pc_windows
118866974195,460861130,05/16/2025 04:33:05 PM,05/16/2025 04:37:13 PM,,,,,86510a871cbb3952854798a4e8,386207,smc,39,Weiblich,3,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht ,Herausforderungen für die Stabilität der Netze,3,5 = sehr wichtig,4,1 = sehr unwichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",5%,Nein,,"Ja, +",10%,"Ja, f",,Nein,,"Ja, +",10%,Ja,Ja,Unter 3.000 CHF,Universität/Master,Keine Angabe,female,30_to_44,android_mobile
118866974381,460861130,05/16/2025 04:33:25 PM,05/16/2025 04:36:18 PM,,,,,aa9decebacea5d29972d596e63,386207,smc,40,Weiblich,4,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","ja, zu viel bedarf, keine akw mehr",Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,4,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",5%,"Ja, +",10%,"Ja, +",5%,"Ja, +",20%,"Ja, +",5%,"Ja, +",5%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,30_to_44,pc_windows
118866975040,460861130,05/16/2025 04:34:16 PM,05/16/2025 04:35:46 PM,,,,,2be0c7dd4183b33d0ccd1d3c6f,386207,smc,24,Weiblich,3,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht ,Bedrohung der Rentabilität von Stromunternehmen,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",96%,"Ja, f",7%,"Ja, f",9%,"Ja, +",9%,"Ja, +",10%,"Ja, +",4%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte,female,18_to_29,android_mobile
118866974076,460861130,05/16/2025 04:32:58 PM,05/16/2025 04:35:31 PM,,,,,17c61f377baafc2d466decd2c6,386207,smc,54,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Solar ,Herausforderungen für die Stabilität der Netze,2,3,5 = sehr wichtig,5 = sehr wichtig,2,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,"Ja, +",,Nein,,Nein,,"Ja, +",,"Ja, +",,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Die Mitte,male,30_to_44,ios_mobile
118866973535,460861130,05/16/2025 04:32:18 PM,05/16/2025 04:35:24 PM,,,,,7221fb3824ce1e0a2ad2ed8946,386207,smc,47,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,klar bringen sie das,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,2,4,4,5 = sehr wichtig,2,3,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",1%,"Ja, +",50%,Nein,,Nein,,"Ja, f",1%,"Ja, f",2%,Ja,Ja,Über 10.000 CHF,Universität/Master,Grüne Partei der Schweiz (GPS),male,45_to_60,pc_mac
118866970685,460861130,05/16/2025 04:28:31 PM,05/16/2025 04:35:00 PM,,,,,fa2c1db342452531395ed7c25e,386207,smc,66,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Ja,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,2,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,5%,,5%,,5%,,5%,,5%,,5%,Nein,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,60_above,android_mobile
118866971710,460861130,05/16/2025 04:30:13 PM,05/16/2025 04:33:04 PM,,,,,53cdb3c3bfe2cfbd05108d10d0,386207,smc,34,Männlich,3,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,3,4,3,3,3,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,male,30_to_44,ios_mobile
118866969397,460861130,05/16/2025 04:26:59 PM,05/16/2025 04:30:45 PM,,,,,d151c30f5d7954dc23e66e1b0d,386207,smc,55,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Solar,Herausforderungen für die Stabilität der Netze,3,3,5 = sehr wichtig,5 = sehr wichtig,3,3,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, +",,"Ja, +",,Nein,,Nein,,"Ja, +",,"Ja, +",,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Die Mitte,male,45_to_60,ios_mobile
118866968787,460861130,05/16/2025 04:26:04 PM,05/16/2025 04:29:51 PM,,,,,54a777e9d3310029d1e530a64f,386207,smc,40,Weiblich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),weiss nicht,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,4,1 = sehr unwichtig,1 = sehr unwichtig,3,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,,,,,,,,,,,,Ja,Nein,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,female,30_to_44,pc_windows
118866969369,460861130,05/16/2025 04:26:57 PM,05/16/2025 04:29:44 PM,,,,,435deecbab81bd4229f3c5a6dd,386207,smc,46,Weiblich,3,,,Haus (Miete),,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),die einspeissung ins netz,Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,5 = sehr wichtig,3,3,3,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden",,10%,Nein,,,10%,,5%,,10%,,10%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,45_to_60,ios_mobile
